"ƒ´∏ﬁ∂Û π¯»£","¡÷º“","ªÛºº º≥∏Ì","√¯¡§ Ω√¿€ Ω√∞£","√¯¡§ ¡æ∑· Ω√∞£","ƒ´∏ﬁ∂Û ≈Î∞˙ ¿Œø¯ (IN)","ƒ´∏ﬁ∂Û ≈Î∞˙ ¿Œø¯ (OUT)","µ•¿Ã≈Õ¿‘∑¬Ω√∞£"
"28","∫œ√Ã∑Œ11±Ê 1 (∞°»∏µø 64-1)","","2015-10-27 00:44:40","2015-10-27 00:54:40","4","3","2015-10-27 00:54:40"
"27","∫œ√Ã∑Œ5∞°±Ê 38 (»≠µø 72)","","2015-10-27 00:44:40","2015-10-27 00:54:40","8","10","2015-10-27 00:54:40"
"18","¿≤∞Ó∑Œ3±Ê 50 (¥ˆº∫ø©∞Ì)","","2015-10-27 00:44:40","2015-10-27 00:54:40","10","1","2015-10-27 00:54:40"
"28","∫œ√Ã∑Œ11±Ê 1 (∞°»∏µø 64-1)","","2015-10-27 00:54:40","2015-10-27 01:04:40","15","5","2015-10-27 01:04:40"
"27","∫œ√Ã∑Œ5∞°±Ê 38 (»≠µø 72)","","2015-10-27 00:54:40","2015-10-27 01:04:40","13","12","2015-10-27 01:04:40"
"18","¿≤∞Ó∑Œ3±Ê 50 (¥ˆº∫ø©∞Ì)","","2015-10-27 00:54:40","2015-10-27 01:04:40","7","8","2015-10-27 01:04:40"
"22","∞Ëµø±Ê 69 (∞°»∏µø 65-2)","","2015-10-27 00:54:40","2015-10-27 01:04:40","5","9","2015-10-27 01:04:40"
"27","∫œ√Ã∑Œ5∞°±Ê 38 (»≠µø 72)","","2015-10-27 01:04:40","2015-10-27 01:14:40","8","5","2015-10-27 01:14:40"
"28","∫œ√Ã∑Œ11±Ê 1 (∞°»∏µø 64-1)","","2015-10-27 01:04:40","2015-10-27 01:14:40","2","4","2015-10-27 01:14:40"
"22","∞Ëµø±Ê 69 (∞°»∏µø 65-2)","","2015-10-27 01:04:40","2015-10-27 01:14:40","12","8","2015-10-27 01:14:40"
"18","¿≤∞Ó∑Œ3±Ê 50 (¥ˆº∫ø©∞Ì)","","2015-10-27 01:04:40","2015-10-27 01:14:40","0","1","2015-10-27 01:14:40"
"22","∞Ëµø±Ê 69 (∞°»∏µø 65-2)","","2015-10-27 01:14:40","2015-10-27 01:24:40","5","9","2015-10-27 01:24:40"
"28","∫œ√Ã∑Œ11±Ê 1 (∞°»∏µø 64-1)","","2015-10-27 01:14:40","2015-10-27 01:24:40","1","0","2015-10-27 01:24:40"
"27","∫œ√Ã∑Œ5∞°±Ê 38 (»≠µø 72)","","2015-10-27 01:14:40","2015-10-27 01:24:40","3","4","2015-10-27 01:24:40"
"27","∫œ√Ã∑Œ5∞°±Ê 38 (»≠µø 72)","","2015-10-27 01:24:40","2015-10-27 01:34:40","8","20","2015-10-27 01:34:40"
"18","¿≤∞Ó∑Œ3±Ê 50 (¥ˆº∫ø©∞Ì)","","2015-10-27 01:24:40","2015-10-27 01:34:40","10","3","2015-10-27 01:34:40"
"22","∞Ëµø±Ê 69 (∞°»∏µø 65-2)","","2015-10-27 01:24:40","2015-10-27 01:34:40","7","7","2015-10-27 01:34:40"
"28","∫œ√Ã∑Œ11±Ê 1 (∞°»∏µø 64-1)","","2015-10-27 01:24:40","2015-10-27 01:34:40","12","4","2015-10-27 01:34:40"
"27","∫œ√Ã∑Œ5∞°±Ê 38 (»≠µø 72)","","2015-10-27 01:34:40","2015-10-27 01:44:40","31","18","2015-10-27 01:44:40"
"18","¿≤∞Ó∑Œ3±Ê 50 (¥ˆº∫ø©∞Ì)","","2015-10-27 01:34:40","2015-10-27 01:44:40","6","3","2015-10-27 01:44:40"
"28","∫œ√Ã∑Œ11±Ê 1 (∞°»∏µø 64-1)","","2015-10-27 01:34:40","2015-10-27 01:44:41","1","7","2015-10-27 01:44:41"
"22","∞Ëµø±Ê 69 (∞°»∏µø 65-2)","","2015-10-27 01:34:40","2015-10-27 01:44:41","6","14","2015-10-27 01:44:41"
"18","¿≤∞Ó∑Œ3±Ê 50 (¥ˆº∫ø©∞Ì)","","2015-10-27 01:44:41","2015-10-27 01:54:40","3","8","2015-10-27 01:54:40"
"28","∫œ√Ã∑Œ11±Ê 1 (∞°»∏µø 64-1)","","2015-10-27 01:44:41","2015-10-27 01:54:40","3","1","2015-10-27 01:54:40"
"22","∞Ëµø±Ê 69 (∞°»∏µø 65-2)","","2015-10-27 01:44:41","2015-10-27 01:54:40","4","15","2015-10-27 01:54:40"
"27","∫œ√Ã∑Œ5∞°±Ê 38 (»≠µø 72)","","2015-10-27 01:44:41","2015-10-27 01:54:40","2","16","2015-10-27 01:54:40"
"18","¿≤∞Ó∑Œ3±Ê 50 (¥ˆº∫ø©∞Ì)","","2015-10-27 01:54:40","2015-10-27 02:04:40","3","3","2015-10-27 02:04:40"
"22","∞Ëµø±Ê 69 (∞°»∏µø 65-2)","","2015-10-27 01:54:40","2015-10-27 02:04:40","1","4","2015-10-27 02:04:40"
"27","∫œ√Ã∑Œ5∞°±Ê 38 (»≠µø 72)","","2015-10-27 01:54:40","2015-10-27 02:04:40","2","2","2015-10-27 02:04:40"
"22","∞Ëµø±Ê 69 (∞°»∏µø 65-2)","","2015-10-27 02:04:40","2015-10-27 02:14:40","1","8","2015-10-27 02:14:40"
"28","∫œ√Ã∑Œ11±Ê 1 (∞°»∏µø 64-1)","","2015-10-27 02:04:40","2015-10-27 02:14:40","1","5","2015-10-27 02:14:40"
"27","∫œ√Ã∑Œ5∞°±Ê 38 (»≠µø 72)","","2015-10-27 02:04:40","2015-10-27 02:14:40","4","2","2015-10-27 02:14:40"
"27","∫œ√Ã∑Œ5∞°±Ê 38 (»≠µø 72)","","2015-10-27 02:14:41","2015-10-27 02:24:40","0","1","2015-10-27 02:24:40"
"28","∫œ√Ã∑Œ11±Ê 1 (∞°»∏µø 64-1)","","2015-10-27 02:24:40","2015-10-27 02:34:41","4","4","2015-10-27 02:34:41"
"18","¿≤∞Ó∑Œ3±Ê 50 (¥ˆº∫ø©∞Ì)","","2015-10-27 02:24:40","2015-10-27 02:34:41","7","8","2015-10-27 02:34:41"
"27","∫œ√Ã∑Œ5∞°±Ê 38 (»≠µø 72)","","2015-10-27 02:24:40","2015-10-27 02:34:41","9","7","2015-10-27 02:34:41"
"22","∞Ëµø±Ê 69 (∞°»∏µø 65-2)","","2015-10-27 02:24:40","2015-10-27 02:34:41","2","6","2015-10-27 02:34:41"
"27","∫œ√Ã∑Œ5∞°±Ê 38 (»≠µø 72)","","2015-10-27 02:34:41","2015-10-27 02:44:41","17","24","2015-10-27 02:44:41"
"18","¿≤∞Ó∑Œ3±Ê 50 (¥ˆº∫ø©∞Ì)","","2015-10-27 02:34:41","2015-10-27 02:44:41","17","8","2015-10-27 02:44:41"
"28","∫œ√Ã∑Œ11±Ê 1 (∞°»∏µø 64-1)","","2015-10-27 02:34:41","2015-10-27 02:44:41","9","16","2015-10-27 02:44:41"
"22","∞Ëµø±Ê 69 (∞°»∏µø 65-2)","","2015-10-27 02:44:41","2015-10-27 02:54:41","2","4","2015-10-27 02:54:41"
"27","∫œ√Ã∑Œ5∞°±Ê 38 (»≠µø 72)","","2015-10-27 02:44:41","2015-10-27 02:54:41","12","12","2015-10-27 02:54:41"
"28","∫œ√Ã∑Œ11±Ê 1 (∞°»∏µø 64-1)","","2015-10-27 02:44:41","2015-10-27 02:54:41","6","9","2015-10-27 02:54:41"
"18","¿≤∞Ó∑Œ3±Ê 50 (¥ˆº∫ø©∞Ì)","","2015-10-27 02:44:41","2015-10-27 02:54:41","8","3","2015-10-27 02:54:41"
"22","∞Ëµø±Ê 69 (∞°»∏µø 65-2)","","2015-10-27 02:54:41","2015-10-27 03:04:41","7","2","2015-10-27 03:04:41"
"18","¿≤∞Ó∑Œ3±Ê 50 (¥ˆº∫ø©∞Ì)","","2015-10-27 02:54:41","2015-10-27 03:04:41","5","5","2015-10-27 03:04:41"
"27","∫œ√Ã∑Œ5∞°±Ê 38 (»≠µø 72)","","2015-10-27 02:54:41","2015-10-27 03:04:41","5","11","2015-10-27 03:04:41"
"28","∫œ√Ã∑Œ11±Ê 1 (∞°»∏µø 64-1)","","2015-10-27 02:54:41","2015-10-27 03:04:41","9","8","2015-10-27 03:04:41"
"18","¿≤∞Ó∑Œ3±Ê 50 (¥ˆº∫ø©∞Ì)","","2015-10-27 03:04:41","2015-10-27 03:14:41","9","20","2015-10-27 03:14:41"
"28","∫œ√Ã∑Œ11±Ê 1 (∞°»∏µø 64-1)","","2015-10-27 03:04:41","2015-10-27 03:14:41","6","9","2015-10-27 03:14:41"
"27","∫œ√Ã∑Œ5∞°±Ê 38 (»≠µø 72)","","2015-10-27 03:04:41","2015-10-27 03:14:41","9","12","2015-10-27 03:14:41"
"27","∫œ√Ã∑Œ5∞°±Ê 38 (»≠µø 72)","","2015-10-27 03:14:41","2015-10-27 03:24:41","9","12","2015-10-27 03:24:41"
"28","∫œ√Ã∑Œ11±Ê 1 (∞°»∏µø 64-1)","","2015-10-27 03:14:41","2015-10-27 03:24:41","6","10","2015-10-27 03:24:41"
"18","¿≤∞Ó∑Œ3±Ê 50 (¥ˆº∫ø©∞Ì)","","2015-10-27 03:14:41","2015-10-27 03:24:41","5","4","2015-10-27 03:24:41"
"22","∞Ëµø±Ê 69 (∞°»∏µø 65-2)","","2015-10-27 03:14:41","2015-10-27 03:24:41","1","8","2015-10-27 03:24:41"
"22","∞Ëµø±Ê 69 (∞°»∏µø 65-2)","","2015-10-27 03:24:41","2015-10-27 03:34:41","4","3","2015-10-27 03:34:41"
"27","∫œ√Ã∑Œ5∞°±Ê 38 (»≠µø 72)","","2015-10-27 03:24:41","2015-10-27 03:34:41","5","7","2015-10-27 03:34:41"
"18","¿≤∞Ó∑Œ3±Ê 50 (¥ˆº∫ø©∞Ì)","","2015-10-27 03:24:41","2015-10-27 03:34:41","7","7","2015-10-27 03:34:41"
"28","∫œ√Ã∑Œ11±Ê 1 (∞°»∏µø 64-1)","","2015-10-27 03:24:41","2015-10-27 03:34:41","13","10","2015-10-27 03:34:41"
"28","∫œ√Ã∑Œ11±Ê 1 (∞°»∏µø 64-1)","","2015-10-27 03:34:41","2015-10-27 03:44:41","3","8","2015-10-27 03:44:41"
"27","∫œ√Ã∑Œ5∞°±Ê 38 (»≠µø 72)","","2015-10-27 03:34:41","2015-10-27 03:44:41","27","19","2015-10-27 03:44:41"
"18","¿≤∞Ó∑Œ3±Ê 50 (¥ˆº∫ø©∞Ì)","","2015-10-27 03:34:41","2015-10-27 03:44:41","6","4","2015-10-27 03:44:41"
"22","∞Ëµø±Ê 69 (∞°»∏µø 65-2)","","2015-10-27 03:34:41","2015-10-27 03:44:41","0","3","2015-10-27 03:44:41"
"27","∫œ√Ã∑Œ5∞°±Ê 38 (»≠µø 72)","","2015-10-27 03:44:41","2015-10-27 03:54:41","25","33","2015-10-27 03:54:41"
"28","∫œ√Ã∑Œ11±Ê 1 (∞°»∏µø 64-1)","","2015-10-27 03:44:41","2015-10-27 03:54:41","15","9","2015-10-27 03:54:41"
"18","¿≤∞Ó∑Œ3±Ê 50 (¥ˆº∫ø©∞Ì)","","2015-10-27 03:44:41","2015-10-27 03:54:41","14","11","2015-10-27 03:54:41"
"18","¿≤∞Ó∑Œ3±Ê 50 (¥ˆº∫ø©∞Ì)","","2015-10-27 03:54:41","2015-10-27 04:04:41","25","15","2015-10-27 04:04:41"
"28","∫œ√Ã∑Œ11±Ê 1 (∞°»∏µø 64-1)","","2015-10-27 03:54:41","2015-10-27 04:04:41","16","15","2015-10-27 04:04:41"
"27","∫œ√Ã∑Œ5∞°±Ê 38 (»≠µø 72)","","2015-10-27 03:54:41","2015-10-27 04:04:41","28","31","2015-10-27 04:04:41"
"22","∞Ëµø±Ê 69 (∞°»∏µø 65-2)","","2015-10-27 03:54:41","2015-10-27 04:04:41","1","1","2015-10-27 04:04:41"
"28","∫œ√Ã∑Œ11±Ê 1 (∞°»∏µø 64-1)","","2015-10-27 04:04:41","2015-10-27 04:14:41","16","21","2015-10-27 04:14:41"
"27","∫œ√Ã∑Œ5∞°±Ê 38 (»≠µø 72)","","2015-10-27 04:04:41","2015-10-27 04:14:41","36","39","2015-10-27 04:14:41"
"22","∞Ëµø±Ê 69 (∞°»∏µø 65-2)","","2015-10-27 04:04:41","2015-10-27 04:14:41","3","5","2015-10-27 04:14:41"
"18","¿≤∞Ó∑Œ3±Ê 50 (¥ˆº∫ø©∞Ì)","","2015-10-27 04:04:41","2015-10-27 04:14:41","20","22","2015-10-27 04:14:41"
"28","∫œ√Ã∑Œ11±Ê 1 (∞°»∏µø 64-1)","","2015-10-27 04:14:41","2015-10-27 04:24:41","11","22","2015-10-27 04:24:41"
"22","∞Ëµø±Ê 69 (∞°»∏µø 65-2)","","2015-10-27 04:14:41","2015-10-27 04:24:41","8","7","2015-10-27 04:24:41"
"18","¿≤∞Ó∑Œ3±Ê 50 (¥ˆº∫ø©∞Ì)","","2015-10-27 04:14:41","2015-10-27 04:24:41","21","20","2015-10-27 04:24:41"
"27","∫œ√Ã∑Œ5∞°±Ê 38 (»≠µø 72)","","2015-10-27 04:14:41","2015-10-27 04:24:41","36","54","2015-10-27 04:24:41"
"28","∫œ√Ã∑Œ11±Ê 1 (∞°»∏µø 64-1)","","2015-10-27 04:24:41","2015-10-27 04:34:41","17","15","2015-10-27 04:34:41"
"22","∞Ëµø±Ê 69 (∞°»∏µø 65-2)","","2015-10-27 04:24:41","2015-10-27 04:34:41","2","0","2015-10-27 04:34:41"
"18","¿≤∞Ó∑Œ3±Ê 50 (¥ˆº∫ø©∞Ì)","","2015-10-27 04:24:41","2015-10-27 04:34:41","13","14","2015-10-27 04:34:41"
"27","∫œ√Ã∑Œ5∞°±Ê 38 (»≠µø 72)","","2015-10-27 04:24:41","2015-10-27 04:34:41","24","30","2015-10-27 04:34:41"
"28","∫œ√Ã∑Œ11±Ê 1 (∞°»∏µø 64-1)","","2015-10-27 04:34:41","2015-10-27 04:44:41","24","10","2015-10-27 04:44:41"
"27","∫œ√Ã∑Œ5∞°±Ê 38 (»≠µø 72)","","2015-10-27 04:34:41","2015-10-27 04:44:41","21","17","2015-10-27 04:44:41"
"18","¿≤∞Ó∑Œ3±Ê 50 (¥ˆº∫ø©∞Ì)","","2015-10-27 04:34:41","2015-10-27 04:44:41","18","9","2015-10-27 04:44:41"
"22","∞Ëµø±Ê 69 (∞°»∏µø 65-2)","","2015-10-27 04:34:41","2015-10-27 04:44:41","6","16","2015-10-27 04:44:41"
"18","¿≤∞Ó∑Œ3±Ê 50 (¥ˆº∫ø©∞Ì)","","2015-10-27 04:44:41","2015-10-27 04:54:41","51","35","2015-10-27 04:54:41"
"27","∫œ√Ã∑Œ5∞°±Ê 38 (»≠µø 72)","","2015-10-27 04:44:41","2015-10-27 04:54:41","6","23","2015-10-27 04:54:41"
"28","∫œ√Ã∑Œ11±Ê 1 (∞°»∏µø 64-1)","","2015-10-27 04:44:41","2015-10-27 04:54:41","2","13","2015-10-27 04:54:41"
"22","∞Ëµø±Ê 69 (∞°»∏µø 65-2)","","2015-10-27 04:44:41","2015-10-27 04:54:41","3","5","2015-10-27 04:54:41"
"18","¿≤∞Ó∑Œ3±Ê 50 (¥ˆº∫ø©∞Ì)","","2015-10-27 04:54:41","2015-10-27 05:04:41","41","34","2015-10-27 05:04:41"
"22","∞Ëµø±Ê 69 (∞°»∏µø 65-2)","","2015-10-27 04:54:41","2015-10-27 05:04:41","0","4","2015-10-27 05:04:41"
"28","∫œ√Ã∑Œ11±Ê 1 (∞°»∏µø 64-1)","","2015-10-27 04:54:41","2015-10-27 05:04:41","12","14","2015-10-27 05:04:41"
"27","∫œ√Ã∑Œ5∞°±Ê 38 (»≠µø 72)","","2015-10-27 04:54:41","2015-10-27 05:04:41","29","43","2015-10-27 05:04:41"
"18","¿≤∞Ó∑Œ3±Ê 50 (¥ˆº∫ø©∞Ì)","","2015-10-27 05:04:41","2015-10-27 05:14:41","26","18","2015-10-27 05:14:41"
"22","∞Ëµø±Ê 69 (∞°»∏µø 65-2)","","2015-10-27 05:04:41","2015-10-27 05:14:41","9","0","2015-10-27 05:14:41"
"28","∫œ√Ã∑Œ11±Ê 1 (∞°»∏µø 64-1)","","2015-10-27 05:04:41","2015-10-27 05:14:41","25","39","2015-10-27 05:14:41"
"27","∫œ√Ã∑Œ5∞°±Ê 38 (»≠µø 72)","","2015-10-27 05:04:41","2015-10-27 05:14:41","35","37","2015-10-27 05:14:41"
"27","∫œ√Ã∑Œ5∞°±Ê 38 (»≠µø 72)","","2015-10-27 05:14:41","2015-10-27 05:24:41","27","35","2015-10-27 05:24:41"
"28","∫œ√Ã∑Œ11±Ê 1 (∞°»∏µø 64-1)","","2015-10-27 05:14:41","2015-10-27 05:24:41","8","21","2015-10-27 05:24:41"
"18","¿≤∞Ó∑Œ3±Ê 50 (¥ˆº∫ø©∞Ì)","","2015-10-27 05:14:41","2015-10-27 05:24:41","75","78","2015-10-27 05:24:41"
"22","∞Ëµø±Ê 69 (∞°»∏µø 65-2)","","2015-10-27 05:14:41","2015-10-27 05:24:41","1","16","2015-10-27 05:24:41"
"28","∫œ√Ã∑Œ11±Ê 1 (∞°»∏µø 64-1)","","2015-10-27 05:24:41","2015-10-27 05:34:41","13","8","2015-10-27 05:34:41"
"18","¿≤∞Ó∑Œ3±Ê 50 (¥ˆº∫ø©∞Ì)","","2015-10-27 05:24:41","2015-10-27 05:34:41","4","2","2015-10-27 05:34:41"
"27","∫œ√Ã∑Œ5∞°±Ê 38 (»≠µø 72)","","2015-10-27 05:24:41","2015-10-27 05:34:41","36","20","2015-10-27 05:34:41"
"22","∞Ëµø±Ê 69 (∞°»∏µø 65-2)","","2015-10-27 05:24:41","2015-10-27 05:34:41","7","26","2015-10-27 05:34:41"
"22","∞Ëµø±Ê 69 (∞°»∏µø 65-2)","","2015-10-27 05:34:41","2015-10-27 05:44:41","3","12","2015-10-27 05:44:41"
"28","∫œ√Ã∑Œ11±Ê 1 (∞°»∏µø 64-1)","","2015-10-27 05:34:41","2015-10-27 05:44:41","14","39","2015-10-27 05:44:41"
"18","¿≤∞Ó∑Œ3±Ê 50 (¥ˆº∫ø©∞Ì)","","2015-10-27 05:34:41","2015-10-27 05:44:41","33","17","2015-10-27 05:44:41"
"27","∫œ√Ã∑Œ5∞°±Ê 38 (»≠µø 72)","","2015-10-27 05:34:41","2015-10-27 05:44:41","43","34","2015-10-27 05:44:41"
"22","∞Ëµø±Ê 69 (∞°»∏µø 65-2)","","2015-10-27 05:44:41","2015-10-27 05:54:41","3","26","2015-10-27 05:54:41"
"27","∫œ√Ã∑Œ5∞°±Ê 38 (»≠µø 72)","","2015-10-27 05:44:41","2015-10-27 05:54:41","18","29","2015-10-27 05:54:41"
"18","¿≤∞Ó∑Œ3±Ê 50 (¥ˆº∫ø©∞Ì)","","2015-10-27 05:44:41","2015-10-27 05:54:41","13","10","2015-10-27 05:54:41"
"28","∫œ√Ã∑Œ11±Ê 1 (∞°»∏µø 64-1)","","2015-10-27 05:44:41","2015-10-27 05:54:41","30","43","2015-10-27 05:54:41"
"22","∞Ëµø±Ê 69 (∞°»∏µø 65-2)","","2015-10-27 05:54:41","2015-10-27 06:04:41","1","17","2015-10-27 06:04:41"
"27","∫œ√Ã∑Œ5∞°±Ê 38 (»≠µø 72)","","2015-10-27 05:54:41","2015-10-27 06:04:41","24","20","2015-10-27 06:04:41"
"28","∫œ√Ã∑Œ11±Ê 1 (∞°»∏µø 64-1)","","2015-10-27 05:54:41","2015-10-27 06:04:41","13","12","2015-10-27 06:04:41"
"18","¿≤∞Ó∑Œ3±Ê 50 (¥ˆº∫ø©∞Ì)","","2015-10-27 05:54:41","2015-10-27 06:04:41","34","30","2015-10-27 06:04:41"
"18","¿≤∞Ó∑Œ3±Ê 50 (¥ˆº∫ø©∞Ì)","","2015-10-27 06:04:41","2015-10-27 06:14:41","44","20","2015-10-27 06:14:41"
"22","∞Ëµø±Ê 69 (∞°»∏µø 65-2)","","2015-10-27 06:04:41","2015-10-27 06:14:41","11","7","2015-10-27 06:14:41"
"28","∫œ√Ã∑Œ11±Ê 1 (∞°»∏µø 64-1)","","2015-10-27 06:04:41","2015-10-27 06:14:41","21","26","2015-10-27 06:14:41"
"27","∫œ√Ã∑Œ5∞°±Ê 38 (»≠µø 72)","","2015-10-27 06:04:41","2015-10-27 06:14:41","9","20","2015-10-27 06:14:41"
"22","∞Ëµø±Ê 69 (∞°»∏µø 65-2)","","2015-10-27 06:14:41","2015-10-27 06:24:41","1","10","2015-10-27 06:24:41"
"18","¿≤∞Ó∑Œ3±Ê 50 (¥ˆº∫ø©∞Ì)","","2015-10-27 06:14:41","2015-10-27 06:24:41","48","22","2015-10-27 06:24:41"
"27","∫œ√Ã∑Œ5∞°±Ê 38 (»≠µø 72)","","2015-10-27 06:14:41","2015-10-27 06:24:41","10","25","2015-10-27 06:24:41"
"28","∫œ√Ã∑Œ11±Ê 1 (∞°»∏µø 64-1)","","2015-10-27 06:14:41","2015-10-27 06:24:41","14","21","2015-10-27 06:24:41"
"18","¿≤∞Ó∑Œ3±Ê 50 (¥ˆº∫ø©∞Ì)","","2015-10-27 06:24:41","2015-10-27 06:34:41","33","31","2015-10-27 06:34:41"
"22","∞Ëµø±Ê 69 (∞°»∏µø 65-2)","","2015-10-27 06:24:41","2015-10-27 06:34:41","8","13","2015-10-27 06:34:41"
"27","∫œ√Ã∑Œ5∞°±Ê 38 (»≠µø 72)","","2015-10-27 06:24:41","2015-10-27 06:34:41","18","17","2015-10-27 06:34:41"
"28","∫œ√Ã∑Œ11±Ê 1 (∞°»∏µø 64-1)","","2015-10-27 06:24:41","2015-10-27 06:34:41","31","26","2015-10-27 06:34:41"
"28","∫œ√Ã∑Œ11±Ê 1 (∞°»∏µø 64-1)","","2015-10-27 06:34:41","2015-10-27 06:44:41","12","36","2015-10-27 06:44:41"
"18","¿≤∞Ó∑Œ3±Ê 50 (¥ˆº∫ø©∞Ì)","","2015-10-27 06:34:41","2015-10-27 06:44:41","42","18","2015-10-27 06:44:41"
"27","∫œ√Ã∑Œ5∞°±Ê 38 (»≠µø 72)","","2015-10-27 06:34:41","2015-10-27 06:44:41","18","24","2015-10-27 06:44:41"
"22","∞Ëµø±Ê 69 (∞°»∏µø 65-2)","","2015-10-27 06:34:41","2015-10-27 06:44:41","20","17","2015-10-27 06:44:41"
"27","∫œ√Ã∑Œ5∞°±Ê 38 (»≠µø 72)","","2015-10-27 06:44:41","2015-10-27 06:54:41","17","19","2015-10-27 06:54:41"
"18","¿≤∞Ó∑Œ3±Ê 50 (¥ˆº∫ø©∞Ì)","","2015-10-27 06:44:41","2015-10-27 06:54:41","31","5","2015-10-27 06:54:41"
"22","∞Ëµø±Ê 69 (∞°»∏µø 65-2)","","2015-10-27 06:44:41","2015-10-27 06:54:41","14","17","2015-10-27 06:54:41"
"28","∫œ√Ã∑Œ11±Ê 1 (∞°»∏µø 64-1)","","2015-10-27 06:44:41","2015-10-27 06:54:41","0","15","2015-10-27 06:54:41"
"22","∞Ëµø±Ê 69 (∞°»∏µø 65-2)","","2015-10-27 06:54:41","2015-10-27 07:04:41","42","41","2015-10-27 07:04:41"
"18","¿≤∞Ó∑Œ3±Ê 50 (¥ˆº∫ø©∞Ì)","","2015-10-27 06:54:41","2015-10-27 07:04:41","71","12","2015-10-27 07:04:41"
"27","∫œ√Ã∑Œ5∞°±Ê 38 (»≠µø 72)","","2015-10-27 06:54:41","2015-10-27 07:04:41","9","11","2015-10-27 07:04:41"
"28","∫œ√Ã∑Œ11±Ê 1 (∞°»∏µø 64-1)","","2015-10-27 06:54:41","2015-10-27 07:04:41","11","26","2015-10-27 07:04:41"
"22","∞Ëµø±Ê 69 (∞°»∏µø 65-2)","","2015-10-27 07:04:41","2015-10-27 07:14:41","41","44","2015-10-27 07:14:41"
"27","∫œ√Ã∑Œ5∞°±Ê 38 (»≠µø 72)","","2015-10-27 07:04:41","2015-10-27 07:14:41","22","16","2015-10-27 07:14:41"
"28","∫œ√Ã∑Œ11±Ê 1 (∞°»∏µø 64-1)","","2015-10-27 07:04:41","2015-10-27 07:14:41","14","15","2015-10-27 07:14:41"
