"카메라 번호","주소","상세 설명","측정 시작 시간","측정 종료 시간","카메라 통과 인원 (IN)","카메라 통과 인원 (OUT)","데이터입력시간"
"2","계동길 69","계동교회 앞","2020-12-01 00:50:37","2020-12-01 01:00:37","15","14","2020-12-01 01:00:37"
"2","계동길 69","계동교회 앞","2020-12-01 01:00:37","2020-12-01 01:10:37","17","16","2020-12-01 01:10:37"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 01:00:37","2020-12-01 01:10:37","10","17","2020-12-01 01:10:37"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 01:00:37","2020-12-01 01:10:37","36","21","2020-12-01 01:10:37"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 01:10:37","2020-12-01 01:20:37","38","21","2020-12-01 01:20:37"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 01:10:37","2020-12-01 01:20:37","13","26","2020-12-01 01:20:37"
"2","계동길 69","계동교회 앞","2020-12-01 01:10:37","2020-12-01 01:20:37","21","24","2020-12-01 01:20:37"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 01:20:37","2020-12-01 01:30:37","42","25","2020-12-01 01:30:37"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 01:20:37","2020-12-01 01:30:37","18","26","2020-12-01 01:30:37"
"2","계동길 69","계동교회 앞","2020-12-01 01:20:37","2020-12-01 01:30:37","22","26","2020-12-01 01:30:37"
"2","계동길 69","계동교회 앞","2020-12-01 01:30:37","2020-12-01 01:40:37","22","26","2020-12-01 01:40:37"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 01:30:37","2020-12-01 01:40:37","42","25","2020-12-01 01:40:37"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 01:30:37","2020-12-01 01:40:37","18","30","2020-12-01 01:40:37"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 01:40:37","2020-12-01 01:50:37","18","30","2020-12-01 01:50:37"
"2","계동길 69","계동교회 앞","2020-12-01 01:40:37","2020-12-01 01:50:37","24","29","2020-12-01 01:50:37"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 01:40:37","2020-12-01 01:50:37","42","34","2020-12-01 01:50:37"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 01:50:37","2020-12-01 02:00:37","47","36","2020-12-01 02:00:37"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 01:50:37","2020-12-01 02:00:37","18","30","2020-12-01 02:00:37"
"2","계동길 69","계동교회 앞","2020-12-01 01:50:37","2020-12-01 02:00:37","24","29","2020-12-01 02:00:37"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 02:00:37","2020-12-01 02:10:37","54","37","2020-12-01 02:10:37"
"2","계동길 69","계동교회 앞","2020-12-01 02:00:37","2020-12-01 02:10:37","24","33","2020-12-01 02:10:37"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 02:00:37","2020-12-01 02:10:37","18","30","2020-12-01 02:10:37"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 02:10:37","2020-12-01 02:20:37","18","30","2020-12-01 02:20:37"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 02:10:37","2020-12-01 02:20:37","54","37","2020-12-01 02:20:37"
"2","계동길 69","계동교회 앞","2020-12-01 02:10:37","2020-12-01 02:20:37","27","34","2020-12-01 02:20:37"
"2","계동길 69","계동교회 앞","2020-12-01 02:20:37","2020-12-01 02:30:37","31","67","2020-12-01 02:30:37"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 02:20:37","2020-12-01 02:30:37","18","35","2020-12-01 02:30:37"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 02:20:37","2020-12-01 02:30:37","60","39","2020-12-01 02:30:37"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 02:30:37","2020-12-01 02:40:37","73","40","2020-12-01 02:40:37"
"2","계동길 69","계동교회 앞","2020-12-01 02:30:37","2020-12-01 02:40:37","31","71","2020-12-01 02:40:37"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 02:30:37","2020-12-01 02:40:37","18","36","2020-12-01 02:40:37"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 02:40:37","2020-12-01 02:50:37","25","37","2020-12-01 02:50:37"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 02:40:37","2020-12-01 02:50:37","73","45","2020-12-01 02:50:37"
"2","계동길 69","계동교회 앞","2020-12-01 02:40:37","2020-12-01 02:50:37","31","71","2020-12-01 02:50:37"
"2","계동길 69","계동교회 앞","2020-12-01 02:50:37","2020-12-01 03:00:37","31","72","2020-12-01 03:00:37"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 02:50:37","2020-12-01 03:00:37","25","37","2020-12-01 03:00:37"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 02:50:37","2020-12-01 03:00:37","73","45","2020-12-01 03:00:37"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 03:00:37","2020-12-01 03:10:37","85","50","2020-12-01 03:10:37"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 03:00:37","2020-12-01 03:10:37","25","37","2020-12-01 03:10:37"
"2","계동길 69","계동교회 앞","2020-12-01 03:00:37","2020-12-01 03:10:37","31","72","2020-12-01 03:10:37"
"2","계동길 69","계동교회 앞","2020-12-01 03:10:37","2020-12-01 03:20:37","31","72","2020-12-01 03:20:37"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 03:10:37","2020-12-01 03:20:37","25","43","2020-12-01 03:20:37"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 03:10:37","2020-12-01 03:20:37","85","50","2020-12-01 03:20:37"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 03:20:37","2020-12-01 03:30:37","25","43","2020-12-01 03:30:37"
"2","계동길 69","계동교회 앞","2020-12-01 03:20:37","2020-12-01 03:30:37","33","72","2020-12-01 03:30:37"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 03:20:37","2020-12-01 03:30:37","85","50","2020-12-01 03:30:37"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 03:30:37","2020-12-01 03:40:37","25","47","2020-12-01 03:40:37"
"2","계동길 69","계동교회 앞","2020-12-01 03:30:37","2020-12-01 03:40:37","33","72","2020-12-01 03:40:37"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 03:30:37","2020-12-01 03:40:37","90","54","2020-12-01 03:40:37"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 03:40:37","2020-12-01 03:50:37","96","54","2020-12-01 03:50:37"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 03:40:37","2020-12-01 03:50:37","25","47","2020-12-01 03:50:37"
"2","계동길 69","계동교회 앞","2020-12-01 03:40:37","2020-12-01 03:50:37","36","72","2020-12-01 03:50:37"
"2","계동길 69","계동교회 앞","2020-12-01 03:50:37","2020-12-01 04:00:37","36","76","2020-12-01 04:00:37"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 03:50:37","2020-12-01 04:00:37","25","47","2020-12-01 04:00:37"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 03:50:37","2020-12-01 04:00:37","96","54","2020-12-01 04:00:37"
"2","계동길 69","계동교회 앞","2020-12-01 04:00:37","2020-12-01 04:10:37","36","79","2020-12-01 04:10:37"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 04:00:37","2020-12-01 04:10:37","96","54","2020-12-01 04:10:37"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 04:00:37","2020-12-01 04:10:37","25","51","2020-12-01 04:10:37"
"2","계동길 69","계동교회 앞","2020-12-01 04:10:37","2020-12-01 04:20:37","37","83","2020-12-01 04:20:37"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 04:10:37","2020-12-01 04:20:37","96","54","2020-12-01 04:20:37"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 04:10:37","2020-12-01 04:20:37","31","51","2020-12-01 04:20:37"
"2","계동길 69","계동교회 앞","2020-12-01 04:20:37","2020-12-01 04:30:37","39","83","2020-12-01 04:30:37"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 04:20:37","2020-12-01 04:30:37","33","51","2020-12-01 04:30:37"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 04:20:37","2020-12-01 04:30:37","104","55","2020-12-01 04:30:37"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 04:30:37","2020-12-01 04:40:37","104","55","2020-12-01 04:40:37"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 04:30:37","2020-12-01 04:40:37","33","57","2020-12-01 04:40:37"
"2","계동길 69","계동교회 앞","2020-12-01 04:30:37","2020-12-01 04:40:37","39","97","2020-12-01 04:40:37"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 04:40:37","2020-12-01 04:50:37","33","57","2020-12-01 04:50:37"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 04:40:37","2020-12-01 04:50:37","108","55","2020-12-01 04:50:37"
"2","계동길 69","계동교회 앞","2020-12-01 04:40:37","2020-12-01 04:50:37","42","101","2020-12-01 04:50:37"
"2","계동길 69","계동교회 앞","2020-12-01 04:50:37","2020-12-01 05:00:37","42","101","2020-12-01 05:00:37"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 04:50:37","2020-12-01 05:00:37","110","55","2020-12-01 05:00:37"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 04:50:37","2020-12-01 05:00:37","33","58","2020-12-01 05:00:37"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 05:00:37","2020-12-01 05:10:37","110","55","2020-12-01 05:10:37"
"2","계동길 69","계동교회 앞","2020-12-01 05:00:37","2020-12-01 05:10:37","45","108","2020-12-01 05:10:37"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 05:00:37","2020-12-01 05:10:37","39","64","2020-12-01 05:10:37"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 05:10:37","2020-12-01 05:20:37","112","55","2020-12-01 05:20:37"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 05:10:37","2020-12-01 05:20:37","39","66","2020-12-01 05:20:37"
"2","계동길 69","계동교회 앞","2020-12-01 05:10:37","2020-12-01 05:20:37","46","109","2020-12-01 05:20:37"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 05:20:37","2020-12-01 05:30:37","40","81","2020-12-01 05:30:37"
"2","계동길 69","계동교회 앞","2020-12-01 05:20:37","2020-12-01 05:30:37","48","130","2020-12-01 05:30:37"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 05:20:37","2020-12-01 05:30:37","128","56","2020-12-01 05:30:37"
"2","계동길 69","계동교회 앞","2020-12-01 05:30:37","2020-12-01 05:40:37","48","130","2020-12-01 05:40:37"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 05:30:37","2020-12-01 05:40:37","134","59","2020-12-01 05:40:37"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 05:30:37","2020-12-01 05:40:37","42","89","2020-12-01 05:40:37"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 05:40:37","2020-12-01 05:50:37","153","64","2020-12-01 05:50:37"
"2","계동길 69","계동교회 앞","2020-12-01 05:40:37","2020-12-01 05:50:37","50","133","2020-12-01 05:50:37"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 05:40:37","2020-12-01 05:50:37","42","97","2020-12-01 05:50:37"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 05:50:37","2020-12-01 06:00:37","155","64","2020-12-01 06:00:37"
"2","계동길 69","계동교회 앞","2020-12-01 05:50:37","2020-12-01 06:00:37","51","134","2020-12-01 06:00:37"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 05:50:37","2020-12-01 06:00:37","42","97","2020-12-01 06:00:37"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 06:00:37","2020-12-01 06:10:37","158","64","2020-12-01 06:10:37"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 06:00:37","2020-12-01 06:10:37","48","97","2020-12-01 06:10:37"
"2","계동길 69","계동교회 앞","2020-12-01 06:00:37","2020-12-01 06:10:37","53","140","2020-12-01 06:10:37"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 06:10:37","2020-12-01 06:20:37","48","106","2020-12-01 06:20:37"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 06:10:37","2020-12-01 06:20:38","176","69","2020-12-01 06:20:38"
"2","계동길 69","계동교회 앞","2020-12-01 06:10:37","2020-12-01 06:20:38","54","145","2020-12-01 06:20:38"
"2","계동길 69","계동교회 앞","2020-12-01 06:20:38","2020-12-01 06:30:38","59","153","2020-12-01 06:30:38"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 06:20:38","2020-12-01 06:30:38","51","122","2020-12-01 06:30:38"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 06:20:38","2020-12-01 06:30:38","191","72","2020-12-01 06:30:38"
"2","계동길 69","계동교회 앞","2020-12-01 06:30:38","2020-12-01 06:40:38","61","158","2020-12-01 06:40:38"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 06:30:38","2020-12-01 06:40:38","51","124","2020-12-01 06:40:38"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 06:30:38","2020-12-01 06:40:38","218","82","2020-12-01 06:40:38"
"2","계동길 69","계동교회 앞","2020-12-01 06:40:38","2020-12-01 06:50:38","63","166","2020-12-01 06:50:38"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 06:40:38","2020-12-01 06:50:38","226","83","2020-12-01 06:50:38"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 06:40:38","2020-12-01 06:50:38","59","127","2020-12-01 06:50:38"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 06:50:38","2020-12-01 07:00:38","63","129","2020-12-01 07:00:38"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 06:50:38","2020-12-01 07:00:38","239","88","2020-12-01 07:00:38"
"2","계동길 69","계동교회 앞","2020-12-01 06:50:38","2020-12-01 07:00:38","64","168","2020-12-01 07:00:38"
"2","계동길 69","계동교회 앞","2020-12-01 07:00:38","2020-12-01 07:10:38","70","174","2020-12-01 07:10:38"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 07:00:38","2020-12-01 07:10:38","67","131","2020-12-01 07:10:38"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 07:00:38","2020-12-01 07:10:38","256","93","2020-12-01 07:10:38"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 07:10:38","2020-12-01 07:20:38","310","106","2020-12-01 07:20:38"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 07:10:38","2020-12-01 07:20:38","71","145","2020-12-01 07:20:38"
"2","계동길 69","계동교회 앞","2020-12-01 07:10:38","2020-12-01 07:20:38","76","191","2020-12-01 07:20:38"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 07:20:38","2020-12-01 07:30:38","360","123","2020-12-01 07:30:38"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 07:20:38","2020-12-01 07:30:38","81","163","2020-12-01 07:30:38"
"2","계동길 69","계동교회 앞","2020-12-01 07:20:38","2020-12-01 07:30:38","88","229","2020-12-01 07:30:38"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 07:30:38","2020-12-01 07:40:38","390","129","2020-12-01 07:40:38"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 07:30:38","2020-12-01 07:40:38","98","181","2020-12-01 07:40:38"
"2","계동길 69","계동교회 앞","2020-12-01 07:30:38","2020-12-01 07:40:38","110","266","2020-12-01 07:40:38"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 07:40:38","2020-12-01 07:50:38","131","206","2020-12-01 07:50:38"
"2","계동길 69","계동교회 앞","2020-12-01 07:40:38","2020-12-01 07:50:38","159","334","2020-12-01 07:50:38"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 07:40:38","2020-12-01 07:50:38","420","135","2020-12-01 07:50:38"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 07:50:38","2020-12-01 08:00:38","470","143","2020-12-01 08:00:38"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 07:50:38","2020-12-01 08:00:38","141","215","2020-12-01 08:00:38"
"2","계동길 69","계동교회 앞","2020-12-01 07:50:38","2020-12-01 08:00:38","243","451","2020-12-01 08:00:38"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 08:00:38","2020-12-01 08:10:38","517","152","2020-12-01 08:10:38"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 08:00:38","2020-12-01 08:10:38","151","228","2020-12-01 08:10:38"
"2","계동길 69","계동교회 앞","2020-12-01 08:00:38","2020-12-01 08:10:38","303","515","2020-12-01 08:10:38"
"2","계동길 69","계동교회 앞","2020-12-01 08:10:38","2020-12-01 08:20:38","373","631","2020-12-01 08:20:38"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 08:10:38","2020-12-01 08:20:38","544","155","2020-12-01 08:20:38"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 08:10:38","2020-12-01 08:20:38","184","245","2020-12-01 08:20:38"
"2","계동길 69","계동교회 앞","2020-12-01 08:20:38","2020-12-01 08:30:38","437","732","2020-12-01 08:30:38"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 08:20:38","2020-12-01 08:30:38","202","267","2020-12-01 08:30:38"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 08:20:38","2020-12-01 08:30:38","560","162","2020-12-01 08:30:38"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 08:30:38","2020-12-01 08:40:38","597","168","2020-12-01 08:40:38"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 08:30:38","2020-12-01 08:40:38","233","311","2020-12-01 08:40:38"
"2","계동길 69","계동교회 앞","2020-12-01 08:30:38","2020-12-01 08:40:38","493","819","2020-12-01 08:40:38"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 08:40:38","2020-12-01 08:50:38","639","177","2020-12-01 08:50:38"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 08:40:38","2020-12-01 08:50:38","265","352","2020-12-01 08:50:38"
"2","계동길 69","계동교회 앞","2020-12-01 08:40:38","2020-12-01 08:50:38","574","926","2020-12-01 08:50:38"
"2","계동길 69","계동교회 앞","2020-12-01 08:50:38","2020-12-01 09:00:38","669","1060","2020-12-01 09:00:38"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 08:50:38","2020-12-01 09:00:38","677","189","2020-12-01 09:00:38"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 08:50:38","2020-12-01 09:00:38","301","386","2020-12-01 09:00:38"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 09:00:38","2020-12-01 09:10:38","322","419","2020-12-01 09:10:38"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 09:00:38","2020-12-01 09:10:38","729","209","2020-12-01 09:10:38"
"2","계동길 69","계동교회 앞","2020-12-01 09:00:38","2020-12-01 09:10:38","772","1184","2020-12-01 09:10:38"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 09:10:38","2020-12-01 09:20:38","343","435","2020-12-01 09:20:38"
"2","계동길 69","계동교회 앞","2020-12-01 09:10:38","2020-12-01 09:20:38","875","1308","2020-12-01 09:20:38"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 09:10:38","2020-12-01 09:20:38","766","216","2020-12-01 09:20:38"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 09:20:38","2020-12-01 09:30:38","799","230","2020-12-01 09:30:38"
"2","계동길 69","계동교회 앞","2020-12-01 09:20:38","2020-12-01 09:30:38","954","1415","2020-12-01 09:30:38"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 09:20:38","2020-12-01 09:30:38","357","464","2020-12-01 09:30:38"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 09:30:38","2020-12-01 09:40:38","827","236","2020-12-01 09:40:38"
"2","계동길 69","계동교회 앞","2020-12-01 09:30:38","2020-12-01 09:40:38","1011","1503","2020-12-01 09:40:38"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 09:30:38","2020-12-01 09:40:38","363","485","2020-12-01 09:40:38"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 09:40:38","2020-12-01 09:50:38","374","497","2020-12-01 09:50:38"
"2","계동길 69","계동교회 앞","2020-12-01 09:40:38","2020-12-01 09:50:38","1058","1569","2020-12-01 09:50:38"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 09:40:38","2020-12-01 09:50:38","854","245","2020-12-01 09:50:38"
"2","계동길 69","계동교회 앞","2020-12-01 09:50:38","2020-12-01 10:00:38","1165","1657","2020-12-01 10:00:38"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 09:50:38","2020-12-01 10:00:38","386","513","2020-12-01 10:00:38"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 09:50:38","2020-12-01 10:00:38","895","254","2020-12-01 10:00:38"
"2","계동길 69","계동교회 앞","2020-12-01 10:00:38","2020-12-01 10:10:38","1263","1806","2020-12-01 10:10:38"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 10:00:38","2020-12-01 10:10:38","926","264","2020-12-01 10:10:38"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 10:00:38","2020-12-01 10:10:38","407","548","2020-12-01 10:10:38"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 10:10:38","2020-12-01 10:20:38","423","572","2020-12-01 10:20:38"
"2","계동길 69","계동교회 앞","2020-12-01 10:10:38","2020-12-01 10:20:38","1344","1902","2020-12-01 10:20:38"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 10:10:38","2020-12-01 10:20:38","961","265","2020-12-01 10:20:38"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 10:20:38","2020-12-01 10:30:38","983","270","2020-12-01 10:30:38"
"2","계동길 69","계동교회 앞","2020-12-01 10:20:38","2020-12-01 10:30:38","1459","2048","2020-12-01 10:30:38"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 10:20:38","2020-12-01 10:30:38","443","591","2020-12-01 10:30:38"
"2","계동길 69","계동교회 앞","2020-12-01 10:30:38","2020-12-01 10:40:38","1543","2165","2020-12-01 10:40:38"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 10:30:38","2020-12-01 10:40:38","1014","277","2020-12-01 10:40:38"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 10:30:38","2020-12-01 10:40:38","466","617","2020-12-01 10:40:38"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 10:40:38","2020-12-01 10:50:38","1073","290","2020-12-01 10:50:38"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 10:40:38","2020-12-01 10:50:38","472","661","2020-12-01 10:50:38"
"2","계동길 69","계동교회 앞","2020-12-01 10:40:38","2020-12-01 10:50:38","1628","2286","2020-12-01 10:50:38"
"2","계동길 69","계동교회 앞","2020-12-01 10:50:38","2020-12-01 11:00:38","1716","2424","2020-12-01 11:00:38"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 10:50:38","2020-12-01 11:00:38","499","692","2020-12-01 11:00:38"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 10:50:38","2020-12-01 11:00:38","1107","303","2020-12-01 11:00:38"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 11:00:38","2020-12-01 11:10:38","1137","310","2020-12-01 11:10:38"
"2","계동길 69","계동교회 앞","2020-12-01 11:00:38","2020-12-01 11:10:38","1789","2542","2020-12-01 11:10:38"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 11:00:38","2020-12-01 11:10:38","521","736","2020-12-01 11:10:38"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 11:10:38","2020-12-01 11:20:38","554","757","2020-12-01 11:20:38"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 11:10:38","2020-12-01 11:20:38","1171","321","2020-12-01 11:20:38"
"2","계동길 69","계동교회 앞","2020-12-01 11:10:38","2020-12-01 11:20:38","1905","2662","2020-12-01 11:20:38"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 11:20:38","2020-12-01 11:30:38","1227","333","2020-12-01 11:30:38"
"2","계동길 69","계동교회 앞","2020-12-01 11:20:38","2020-12-01 11:30:38","2037","2773","2020-12-01 11:30:38"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 11:20:38","2020-12-01 11:30:38","572","774","2020-12-01 11:30:38"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 11:30:38","2020-12-01 11:40:38","604","810","2020-12-01 11:40:38"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 11:30:38","2020-12-01 11:40:38","1285","347","2020-12-01 11:40:38"
"2","계동길 69","계동교회 앞","2020-12-01 11:30:38","2020-12-01 11:40:38","2256","2955","2020-12-01 11:40:38"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 11:40:38","2020-12-01 11:50:38","611","821","2020-12-01 11:50:38"
"2","계동길 69","계동교회 앞","2020-12-01 11:40:38","2020-12-01 11:50:38","2435","3111","2020-12-01 11:50:38"
